
Duration (in seconds) (Duration__in_seconds_) <numeric>
# total N=2457  valid N=2457  mean=1773.72  sd=11921.32

Value |   N | Raw % | Valid % | Cum. %
    3 | No universitaria (Técnica incompleta - técnica completa - universitaria incompleta) | 723 | 29.43 |   32.63 |  78.79
    4 |                           Universitaria o más ( Universitaria completa - postgrado) | 470 | 19.13 |   21.21 | 100.00
 <NA> |                                                                                <NA> | 241 |  9.81 |    <NA> |   <NA>


¿Cuál es su sexo? (sexo) <numeric>
# total N=2457  valid N=2216  mean=1.50  sd=0.50

Value |  Label |    N | Raw % | Valid % | Cum. %
------------------------------------------------
    1 | Hombre | 1104 | 44.93 |   49.82 |  49.82
    2 |  Mujer | 1112 | 45.26 |   50.18 | 100.00
 <NA> |   <NA> |  241 |  9.81 |    <NA> |   <NA>


¿Cua´l es su edad? (edad) <numeric>
# total N=2457  valid N=2216  mean=3.13  sd=1.45

Value |    Label |   N | Raw % | Valid % | Cum. %
-------------------------------------------------
    1 |  18 - 24 | 411 | 16.73 |   18.55 |  18.55
    2 |  25 - 34 | 418 | 17.01 |   18.86 |  37.41
    3 |  35 - 44 | 423 | 17.22 |   19.09 |  56.50
    4 |  45 - 54 | 398 | 16.20 |   17.96 |  74.46
    5 | 55 o más | 566 | 23.04 |   25.54 | 100.00
 <NA> |     <NA> | 241 |  9.81 |    <NA> |   <NA>


Para surgir en la vida, ¿cuan importante cree ud. que es...? - Tener padres con altos niveles de educación (get_ah_1) <numeric>
# total N=2457  valid N=2173  mean=2.98  sd=1.23

Value |               Label |   N | Raw % | Valid % | Cum. %
------------------------------------------------------------
    1 |    No Es importante | 272 | 11.07 |   12.52 |  12.52
    2 |   No muy importante | 563 | 22.91 |   25.91 |  38.43
    3 | Bastante importante | 552 | 22.47 |   25.40 |  63.83
    4 |      Muy importante | 509 | 20.72 |   23.42 |  87.25
    5 |            Esencial | 277 | 11.27 |   12.75 | 100.00
 <NA> |                <NA> | 284 | 11.56 |    <NA> |   <NA>


Quisiéramos saber cuánto dinero cree usted que obtienen algunas ocupaciones. Muchas personas no están seguras al respecto, pero su mejor estimación será suficiente.  ¿Cuánto cree UD. que gana al mes…?. - El gerente de una Gran Empresa Nacional (sal_perc_1) <numeric>
# total N=2457  valid N=2119  mean=15694926.85  sd=21397757.39

Value     |                         Label |   N | Raw % | Valid % | Cum. %
--------------------------------------------------------------------------
50000     |             Menos de  $50.000 |   6 |  0.24 |    0.28 |   0.28
75000     |   Entre 	$50.000	 y 	$100.000 |   8 |  0.33 |    0.38 |   0.66
125000    |  Entre 	$100.000	 y 	$150.000 |   2 |  0.08 |    0.09 |   0.76
275000    |  Entre 	$250.000	 y 	$300.000 |   7 |  0.28 |    0.33 |   1.09
325000    |  Entre 	$300.000	 y 	$350.000 |   3 |  0.12 |    0.14 |   1.23
375000    |  Entre 	$350.000	 y 	$400.000 |   4 |  0.16 |    0.19 |   1.42
425000    |  Entre 	$400.000	 y 	$450.000 |   5 |  0.20 |    0.24 |   1.65
475000    |   Entre 	$450.000	 y	$500.000 |   6 |  0.24 |    0.28 |   1.93
550000    |   Entre 	$500.000	 y	$600.000 |   5 |  0.20 |    0.24 |   2.17
625000    |   Entre 	$600.000	 y	$650.000 |   5 |  0.20 |    0.24 |   2.41
675000    |    Entre 	$650.000	y	$700.000 |   8 |  0.33 |    0.38 |   2.78
750000    |    Entre 	$700.000	y	$800.000 |  11 |  0.45 |    0.52 |   3.30
850000    |   Entre 	$800.000	y 	$900.000 |  12 |  0.49 |    0.57 |   3.87
950000    |      	$900.000	 y 	$1.000.000 |  32 |  1.30 |    1.51 |   5.38
1250000   |    	$1.000.000	 y 	$1.500.000 |  76 |  3.09 |    3.59 |   8.97
1750000   |    	$1.500.000	 y 	$2.000.000 |  99 |  4.03 |    4.67 |  13.64
2250000   |    	$2.000.000	 y 	$2.500.000 |  93 |  3.79 |    4.39 |  18.03
2750000   |    	$2.500.000	 y 	$3.000.000 |  98 |  3.99 |    4.62 |  22.65
3500000   |    	$3.000.000	 y 	$4.000.000 | 130 |  5.29 |    6.13 |  28.79
4500000   |    	$4.000.000	 y 	$5.000.000 | 151 |  6.15 |    7.13 |  35.91
5500000   |    	$5.000.000	 y 	$6.000.000 | 150 |  6.11 |    7.08 |  42.99
7000000   |    	$6.000.000	 y 	$8.000.000 | 142 |  5.78 |    6.70 |  49.69
9000000   |   	$8.000.000	 y 	$10.000.000 | 214 |  8.71 |   10.10 |  59.79
12500000  |  	$10.000.000	 y 	$15.000.000 | 209 |  8.51 |    9.86 |  69.66
17500000  |  	$15.000.000	 y 	$20.000.000 | 166 |  6.76 |    7.83 |  77.49
22500000  |  	$20.000.000	 y 	$25.000.000 | 115 |  4.68 |    5.43 |  82.92
27500000  |  	$25.000.000	 y 	$30.000.000 |  80 |  3.26 |    3.78 |  86.69
32500000  |  	$30.000.000	 y 	$35.000.000 |  43 |  1.75 |    2.03 |  88.72
37500000  |  	$35.000.000	 y 	$40.000.000 |  35 |  1.42 |    1.65 |  90.37
42500000  |  	$40.000.000	 y 	$45.000.000 |  28 |  1.14 |    1.32 |  91.69
47500000  |  	$45.000.000	 y 	$50.000.000 |  30 |  1.22 |    1.42 |  93.11
55000000  |  	$50.000.000	 y 	$60.000.000 |  37 |  1.51 |    1.75 |  94.86
65000000  |  	$60.000.000	 y 	$70.000.000 |  10 |  0.41 |    0.47 |  95.33
75000000  |  	$70.000.000	 y 	$80.000.000 |   9 |  0.37 |    0.42 |  95.75
85000000  |  	$80.000.000	 y 	$90.000.000 |  10 |  0.41 |    0.47 |  96.22
95000000  | 	$90.000.000	 y 	$100.000.000 |  16 |  0.65 |    0.76 |  96.98
100000000 |        	Más 	de 	$100.000.000 |  62 |  2.52 |    2.93 |  99.91
n < 2     |                        <none> |   2 |  0.08 |    0.09 | 100.00
<NA>      |                          <NA> | 338 | 13.76 |    <NA> |   <NA>

